event_id,user_id,event_created_date,event_scheduled_date,event_completed_date,event_organizer_id,event_status
367544,1455858,1/13/2022 6:00:00,1/25/2022 6:00:00,1/25/2022 6:49:22,467,Completed
367545,1463698,2/25/2022 3:00:00,3/6/2022 3:00:00,3/6/2022 3:53:13,449,Completed
367546,1457452,2/26/2022 1:30:00,3/4/2022 1:30:00,3/4/2022 2:26:57,458,Completed
367547,1455858,2/26/2022 6:00:00,3/12/2022 6:00:00,3/12/2022 6:37:12,467,Completed
367548,1458518,2/26/2022 6:00:00,3/4/2022 6:00:00,3/4/2022 6:46:31,468,Completed
367549,1455302,3/4/2022 6:00:00,3/12/2022 6:00:00,3/12/2022 6:37:08,442,Completed
367550,1457452,3/4/2022 6:00:00,3/18/2022 6:00:00,3/18/2022 6:54:14,458,Completed
367551,1458016,3/5/2022 12:00:00,3/19/2022 12:00:00,3/19/2022 12:51:36,451,Completed
367552,1459255,3/6/2022 6:00:00,3/18/2022 6:00:00,3/18/2022 6:45:47,459,Completed
367553,1463698,3/10/2022 12:00:00,3/15/2022 12:00:00,3/15/2022 12:49:37,449,Completed
367554,1455507,3/11/2022 3:00:00,3/16/2022 3:00:00,,437,Rescheduled
367555,1457452,3/12/2022 3:00:00,3/25/2022 3:00:00,3/25/2022 3:40:05,458,Completed
367556,1458518,3/14/2022 6:00:00,3/24/2022 6:00:00,3/24/2022 6:50:27,468,Completed
367557,1460215,3/15/2022 6:00:00,3/22/2022 6:00:00,3/22/2022 6:36:26,457,Completed
367558,1455858,3/17/2022 3:00:00,3/24/2022 3:00:00,3/24/2022 3:42:05,467,Completed
367559,1461680,3/21/2022 3:00:00,3/23/2022 3:00:00,3/23/2022 3:40:20,454,Completed
367560,1460215,3/21/2022 6:00:00,4/1/2022 6:00:00,4/1/2022 6:38:41,457,Completed
367561,1457452,3/22/2022 3:00:00,3/28/2022 3:00:00,3/28/2022 3:40:25,458,Completed
